task_id,phase,code_path,objective,evidence_target,prerequisites,status,run_id,raw_output,derived_output,certificate,notes
I-01,I,workflow/Snakefile,Build the dependency graph for all calculations.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/logs/phase_i_execution_report.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/logs/phase_i_execution_report.json,
I-02,I,environment/lock_environment.py,Freeze exact software environment.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/environment/environment.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/environment/environment.json,
I-03,I,external/fetch_public_baselines.py,Fetch or register public benchmark resources when legally and technically available.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXTERNAL,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,public_data/provenance.json,,public_data/provenance.json,
I-04,I,exact/build_octagon_surface_group.sage,Construct the exact genus-two regular-octagon surface group.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/exact/i04_octagon_group.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/exact/i04_octagon_group.json,
I-05,I,exact/certify_238_commensurability.sage,"Verify the relation between the selected octagon realization and the arithmetic (2,3,8) class.",declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/exact/i05_commensurability_238.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/exact/i05_commensurability_238.json,
I-06,I,covers/generate_cover_towers.g,Generate at least THREE inequivalent finite-cover towers.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/raw/covers/cover_towers.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/raw/covers/cover_towers.json,
I-07,I,geometry/build_orbit_and_frames.py,Generate orbit sites in:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i07_geometry.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i07_geometry.json,
I-08,I,model/build_aro3b_hamiltonian.py,Construct sparse ARO-3B Hamiltonians.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i08_aro3b.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i08_aro3b.json,
I-09,I,exact/interval_backend.sage,Build interval/ball arithmetic backend.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i09_interval_backend.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/certificates/i09_interval_backend.json,
I-10,I,audit/run_manifest.py,"Create run manifests, hashes and provenance records.",declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/manifest.json,,results/f2916d3fc9ed2bf74d0864ddeb7c5d75a9d4b9cb47de21bb4467d9bed07d5585/manifest.json,
